local,dif_media_pp,dif_max_pp,ano_max_dif
Sudeste,0.8182887811432522,1.5883023370540095,2017
Brasil,0.4670092248051004,0.9025742123346225,2017
Centro-Oeste,0.4183217068950675,0.8029978063387344,2017
Sul,0.3807027091445656,0.7434220987824036,2017
Nordeste,0.2212220193003305,0.42156107356369765,2017
Norte,0.1827771475343976,0.370902344242785,2017
