local,prop_masc_min_obs,prop_masc_max_obs,prop_masc_min,prop_masc_max
Brasil,0.48518841933009155,0.4954151672839499,0.48018841933009154,0.5004151672839499
Centro-Oeste,0.49157213666833277,0.501736748706485,0.48657213666833277,0.506736748706485
Nordeste,0.4833245469621705,0.49131431091646105,0.47832454696217047,0.49631431091646105
Norte,0.4991746991797813,0.5062981124096422,0.4941746991797813,0.5112981124096422
Sudeste,0.4816097192138346,0.49569826730139666,0.4766097192138346,0.5006982673013967
Sul,0.4871516875741916,0.49546420186535595,0.4821516875741916,0.5004642018653559
