local,ano,e_ancora,prop_masc_spline,prop_masc_linear,prop_masc_min,prop_masc_max,spline_fora_envelope,spline_desvio_pp,dif_metodos_pp
Brasil,2000,TRUE,0.4921464144924955,0.4921464144924955,0.48018841933009154,0.5004151672839499,NA,NA,0
Brasil,2001,FALSE,0.4948802672565292,0.492613379176989,0.48018841933009154,0.5004151672839499,FALSE,0,0.22668880795402302
Brasil,2002,FALSE,0.49670344358112967,0.4930803438614825,0.48018841933009154,0.5004151672839499,FALSE,0,0.36230997196471937
Brasil,2003,FALSE,0.49770897171404876,0.49354730854597595,0.48018841933009154,0.5004151672839499,FALSE,0,0.41616631680728156
Brasil,2004,FALSE,0.49798987990303845,0.4940142732304695,0.48018841933009154,0.5004151672839499,FALSE,0,0.39756066725689654
Brasil,2005,FALSE,0.4976391963958506,0.49448123791496296,0.48018841933009154,0.5004151672839499,FALSE,0,0.3157958480887624
Brasil,2006,FALSE,0.4967499494402371,0.49494820259945643,0.48018841933009154,0.5004151672839499,FALSE,0,0.18017468407806603
Brasil,2007,TRUE,0.4954151672839499,0.4954151672839499,0.48018841933009154,0.5004151672839499,NA,NA,0
Brasil,2008,FALSE,0.4937278781747409,0.49349940888548827,0.48018841933009154,0.5004151672839499,FALSE,0,0.022846928925263077
Brasil,2009,FALSE,0.491781110360362,0.4915836504870267,0.48018841933009154,0.5004151672839499,FALSE,0,0.01974598733353039
Brasil,2010,TRUE,0.48966789208856504,0.48966789208856504,0.48018841933009154,0.5004151672839499,NA,NA,0
Brasil,2011,FALSE,0.48748125160710204,0.48929460269202557,0.48018841933009154,0.5004151672839499,FALSE,0,-0.18133510849235313
Brasil,2012,FALSE,0.4853142171637248,0.4889213132954861,0.48018841933009154,0.5004151672839499,FALSE,0,-0.36070961317613004
Brasil,2013,FALSE,0.4832598170061853,0.4885480238989467,0.48018841933009154,0.5004151672839499,FALSE,0,-0.5288206892761382
Brasil,2014,FALSE,0.48141107938223543,0.4881747345024072,0.48018841933009154,0.5004151672839499,FALSE,0,-0.6763655120171796
Brasil,2015,FALSE,0.4798610325396271,0.48780144510586776,0.48018841933009154,0.5004151672839499,TRUE,0.03273867904644567,-0.7940412566240673
Brasil,2016,FALSE,0.47870270472611215,0.4874281557093283,0.48018841933009154,0.5004151672839499,TRUE,0.14857146039793934,-0.8725450983216143
Brasil,2017,FALSE,0.4780291241894426,0.4870548663127888,0.48018841933009154,0.5004151672839499,TRUE,0.21592951406489425,-0.9025742123346225
Brasil,2018,FALSE,0.47793331917737025,0.48668157691624936,0.48018841933009154,0.5004151672839499,TRUE,0.225510015272129,-0.8748257738879106
Brasil,2019,FALSE,0.4785083179376471,0.4863082875197099,0.48018841933009154,0.5004151672839499,TRUE,0.16801013924444552,-0.7799969582062805
Brasil,2020,FALSE,0.479847148718025,0.4859349981231705,0.48018841933009154,0.5004151672839499,TRUE,0.03412706120665687,-0.6087849405145507
Brasil,2021,FALSE,0.48204283976625584,0.485561708726631,0.48018841933009154,0.5004151672839499,FALSE,0,-0.35188689603751766
Brasil,2022,TRUE,0.48518841933009155,0.48518841933009155,0.48018841933009154,0.5004151672839499,NA,NA,0
Centro-Oeste,2000,TRUE,0.49848135412175526,0.49848135412175526,0.48657213666833277,0.506736748706485,NA,NA,0
Centro-Oeste,2001,FALSE,0.5010306781430041,0.49894641049100236,0.48657213666833277,0.506736748706485,FALSE,0,0.20842676520017034
Centro-Oeste,2002,FALSE,0.5027445619176503,0.49941146686024945,0.48657213666833277,0.506736748706485,FALSE,0,0.33330950574008145
Centro-Oeste,2003,FALSE,0.5037074160632551,0.49987652322949655,0.48657213666833277,0.506736748706485,FALSE,0,0.3830892833758537
Centro-Oeste,2004,FALSE,0.5040036511973797,0.5003415795987437,0.48657213666833277,0.506736748706485,FALSE,0,0.3662071598635963
Centro-Oeste,2005,FALSE,0.5037176779375854,0.5008066359679908,0.48657213666833277,0.506736748706485,FALSE,0,0.29110419695945744
Centro-Oeste,2006,FALSE,0.5029339069014334,0.5012716923372379,0.48657213666833277,0.506736748706485,FALSE,0,0.16622145641954633
Centro-Oeste,2007,TRUE,0.501736748706485,0.501736748706485,0.48657213666833277,0.506736748706485,NA,NA,0
Centro-Oeste,2008,FALSE,0.5002106139703014,0.4999941849191479,0.48657213666833277,0.506736748706485,FALSE,0,0.021642905115354383
Centro-Oeste,2009,FALSE,0.49843991331044385,0.4982516211318107,0.48657213666833277,0.506736748706485,FALSE,0,0.018829217863314263
Centro-Oeste,2010,TRUE,0.4965090573444736,0.4965090573444736,0.48657213666833277,0.506736748706485,NA,NA,0
Centro-Oeste,2011,FALSE,0.4945024566899519,0.49609764728812855,0.48657213666833277,0.506736748706485,FALSE,0,-0.15951905981766434
Centro-Oeste,2012,FALSE,0.49250452196443995,0.49568623723178346,0.48657213666833277,0.506736748706485,FALSE,0,-0.318171526734351
Centro-Oeste,2013,FALSE,0.4905996637854991,0.49527482717543836,0.48657213666833277,0.506736748706485,FALSE,0,-0.4675163389939285
Centro-Oeste,2014,FALSE,0.4888722927706905,0.4948634171190933,0.48657213666833277,0.506736748706485,FALSE,0,-0.5991124348402821
Centro-Oeste,2015,FALSE,0.48740681953757536,0.4944520070627483,0.48657213666833277,0.506736748706485,FALSE,0,-0.7045187525172913
Centro-Oeste,2016,FALSE,0.48628765470371504,0.4940405970064032,0.48657213666833277,0.506736748706485,TRUE,0.028448196461772213,-0.7752942302688137
Centro-Oeste,2017,FALSE,0.48559920888667074,0.4936291869500581,0.48657213666833277,0.506736748706485,TRUE,0.09729277816620252,-0.8029978063387344
Centro-Oeste,2018,FALSE,0.48542589270400366,0.49321777689371304,0.48657213666833277,0.506736748706485,TRUE,0.11462439643291078,-0.7791884189709386
Centro-Oeste,2019,FALSE,0.48585211677327506,0.492806366837368,0.48657213666833277,0.506736748706485,TRUE,0.07200198950577108,-0.6954250064092948
Centro-Oeste,2020,FALSE,0.48696229171204625,0.4923949567810229,0.48657213666833277,0.506736748706485,FALSE,0,-0.5432665068976661
Centro-Oeste,2021,FALSE,0.4888408281378784,0.4919835467246778,0.48657213666833277,0.506736748706485,FALSE,0,-0.3142718586799431
Centro-Oeste,2022,TRUE,0.49157213666833277,0.49157213666833277,0.48657213666833277,0.506736748706485,NA,NA,0
Nordeste,2000,TRUE,0.4903639276875647,0.4903639276875647,0.47832454696217047,0.49631431091646105,NA,NA,0
Nordeste,2001,FALSE,0.4916322141774389,0.49049969672026417,0.47832454696217047,0.49631431091646105,FALSE,0,0.1132517457174742
Nordeste,2002,FALSE,0.4924475804749507,0.4906354657529637,0.47832454696217047,0.49631431091646105,FALSE,0,0.18121147219870015
Nordeste,2003,FALSE,0.49285527520408245,0.49077123478566315,0.47832454696217047,0.49631431091646105,FALSE,0,0.20840404184193084
Nordeste,2004,FALSE,0.4929005469888169,0.4909070038183626,0.47832454696217047,0.49631431091646105,FALSE,0,0.19935431704543038
Nordeste,2005,FALSE,0.4926286444531364,0.49104277285106207,0.47832454696217047,0.49631431091646105,FALSE,0,0.15858716020743513
Nordeste,2006,FALSE,0.4920848162210236,0.4911785418837616,0.47832454696217047,0.49631431091646105,FALSE,0,0.09062743372620363
Nordeste,2007,TRUE,0.49131431091646105,0.49131431091646105,0.47832454696217047,0.49631431091646105,NA,NA,0
Nordeste,2008,FALSE,0.4903623771634312,0.4902412802136073,0.47832454696217047,0.49631431091646105,FALSE,0,0.012109694982387342
Nordeste,2009,FALSE,0.48927426358591664,0.4891682495107536,0.47832454696217047,0.49631431091646105,FALSE,0,0.010601407516303007
Nordeste,2010,TRUE,0.48809521880789986,0.48809521880789986,0.47832454696217047,0.49631431091646105,NA,NA,0
Nordeste,2011,FALSE,0.4868704914533634,0.4876976628207557,0.47832454696217047,0.49631431091646105,FALSE,0,-0.08271713673922987
Nordeste,2012,FALSE,0.4856453301462899,0.48730010683361163,0.47832454696217047,0.49631431091646105,FALSE,0,-0.1654776687321724
Nordeste,2013,FALSE,0.48446498351066175,0.4869025508464675,0.47832454696217047,0.49631431091646105,FALSE,0,-0.2437567335805746
Nordeste,2014,FALSE,0.4833747001704616,0.4865049948593234,0.47832454696217047,0.49631431091646105,FALSE,0,-0.31302946888618344
Nordeste,2015,FALSE,0.48241972874967187,0.4861074388721793,0.47832454696217047,0.49631431091646105,FALSE,0,-0.3687710122507404
Nordeste,2016,FALSE,0.4816453178722752,0.48570988288503514,0.47832454696217047,0.49631431091646105,FALSE,0,-0.4064565012759924
Nordeste,2017,FALSE,0.4810967161622541,0.48531232689789106,0.47832454696217047,0.49631431091646105,FALSE,0,-0.42156107356369765
