grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2003,1,2003-01-01,133,7418607.666666667,1.7927892399216152
Feminino,2003,2,2003-02-01,128,7418607.666666667,1.7253911481952386
Feminino,2003,3,2003-03-01,139,7418607.666666667,1.8736669499932668
Feminino,2003,4,2003-04-01,158,7418607.666666667,2.1297796985534974
Feminino,2003,5,2003-05-01,124,7418607.666666667,1.671472674814137
Feminino,2003,6,2003-06-01,121,7418607.666666667,1.6310338197783114
Feminino,2003,7,2003-07-01,117,7418607.666666667,1.5771153463972103
Feminino,2003,8,2003-08-01,120,7418607.666666667,1.617554201433036
Feminino,2003,9,2003-09-01,120,7418607.666666667,1.617554201433036
Feminino,2003,10,2003-10-01,162,7418607.666666667,2.1836981719345987
Feminino,2003,11,2003-11-01,148,7418607.666666667,1.9949835151007447
Feminino,2003,12,2003-12-01,134,7418607.666666667,1.8062688582668902
Feminino,2004,1,2004-01-01,155,7592787.083333333,2.041411122145585
Feminino,2004,2,2004-02-01,137,7592787.083333333,1.8043440240899684
Feminino,2004,3,2004-03-01,151,7592787.083333333,1.9887295447998923
Feminino,2004,4,2004-04-01,131,7592787.083333333,1.7253216580714297
Feminino,2004,5,2004-05-01,146,7592787.083333333,1.9228775731177765
Feminino,2004,6,2004-06-01,135,7592787.083333333,1.778003235417122
Feminino,2004,7,2004-07-01,114,7592787.083333333,1.5014249543522364
