data,original,tendencia,sazonal,residuo
2000-01-01,4.309105158036549,3.8805866988870643,0.31083794640653806,0.11768051274294633
2000-02-01,3.913515176315161,3.9053869245472264,-0.17802091496985817,0.1861491667377928
2000-03-01,4.132502487625215,3.9301871502073884,0.2593234837634245,-0.05700814634559759
2000-04-01,3.871130535416441,3.9580943410812366,-0.04211568561130355,-0.044848120053492035
2000-05-01,3.687463758188654,3.9860015319550848,-0.10067353039280896,-0.19786424337362218
2000-06-01,3.673335544555747,4.016430833198015,-0.43066379024034473,0.08756850159807605
2000-07-01,3.708656078638014,4.046860134440946,-0.3088588006837848,-0.029345255119147318
2000-08-01,3.920579283131614,4.079629386154139,-0.03861733527402851,-0.12043276774849598
2000-09-01,3.7581048263531875,4.112398637867332,0.010262422977018288,-0.3645562344911628
2000-10-01,4.598733537511137,4.1595129409580185,0.20554166666811938,0.2336789298849995
2000-11-01,3.920579283131614,4.206627244048706,0.0065017083729467535,-0.29254966929003823
2000-12-01,4.386810333017536,4.263496972370946,0.30648284194745656,-0.18316948130086708
2001-01-01,4.761412344887335,4.320366700693187,0.31083794640653806,0.13020769778760943
2001-02-01,4.308938949539854,4.371512043897033,-0.17802091496985817,0.11544782061267966
2001-03-01,4.8101402490016785,4.422657387100879,0.2593234837634245,0.12815937813737488
2001-04-01,4.587384115907534,4.449767841523878,-0.04211568561130355,0.17973195999496028
2001-05-01,4.253249916266317,4.476878295946875,-0.10067353039280896,-0.12295484928774858
2001-06-01,4.462083791042078,4.477228056880494,-0.43066379024034473,0.41551952440192874
2001-07-01,4.315900078699046,4.4775778178141135,-0.3088588006837848,0.14718106156871702
2001-08-01,4.580422986748342,4.465143938980398,-0.03861733527402851,0.15389638304197284
2001-09-01,4.57346185758915,4.452710060146682,0.010262422977018288,0.11048937446545004
2001-10-01,4.301977820380661,4.4341116305991966,0.20554166666811938,-0.33767547688665456
2001-11-01,4.246288787107125,4.415513201051711,0.0065017083729467535,-0.17572612231753304
2001-12-01,4.656995407499454,4.396454299338327,0.30648284194745656,-0.045941733786329486
2002-01-01,4.4665107892576525,4.377395397624944,0.31083794640653806,-0.2217225547738293
2002-02-01,4.384052128532896,4.370136499480127,-0.17802091496985817,0.19193654402262705
2002-03-01,4.645171220827958,4.362877601335311,0.2593234837634245,0.022970135729222463
2002-04-01,4.260364137445761,4.3759112642533555,-0.04211568561130355,-0.0734314411962913
2002-05-01,4.274107247566554,4.3889449271714,-0.10067353039280896,-0.01416414921203657
2002-06-01,3.8618139439427703,4.404061916385628,-0.43066379024034473,-0.1115841822025132
2002-07-01,4.143547701419021,4.419178905599857,-0.3088588006837848,0.033227596502949375
2002-08-01,4.473382344318049,4.4269449105631775,-0.03861733527402851,0.08505476902889963
